country,death_cause,metric_name,year,val
Global,Unsafe water source,Number,1990,2442070.512
Global,Air pollution,Number,1990,6501226.497
Global,Lead exposure,Number,1990,529841.3292
Global,Smoking,Number,1990,5868489.848
Global,Alcohol use,Number,1990,1639872.223
Global,Drug use,Number,1990,235888.0187
Global,High systolic blood pressure,Number,1990,6787714.629
Global,Dietary risks,Number,1990,5415548.723
Global,Occupational risks,Number,1990,1138578.522
Global,Unsafe water source,Percent,1990,0.052353321
Global,Air pollution,Percent,1990,0.139370132
Global,Lead exposure,Percent,1990,0.011360272
Global,Smoking,Percent,1990,0.125821665
Global,Alcohol use,Percent,1990,0.03515764
Global,Drug use,Percent,1990,0.005057105
Global,High systolic blood pressure,Percent,1990,0.145532149
Global,Dietary risks,Percent,1990,0.116113646
Global,Occupational risks,Percent,1990,0.0244106
Global,Unsafe water source,Rate,1990,45.64747736
Global,Air pollution,Rate,1990,121.521712
Global,Lead exposure,Rate,1990,9.903858207
Global,Smoking,Rate,1990,109.694522
Global,Alcohol use,Rate,1990,30.65268993
Global,Drug use,Rate,1990,4.409247374
Global,High systolic blood pressure,Rate,1990,126.8767828
Global,Dietary risks,Rate,1990,101.2280917
Global,Occupational risks,Rate,1990,21.28244743
India,Unsafe water source,Number,1990,915901.6825
India,Air pollution,Number,1990,1332684.743
India,Lead exposure,Number,1990,115043.1201
India,Smoking,Number,1990,637869.4833
India,Alcohol use,Number,1990,173974.5178
India,Drug use,Number,1990,30232.55067
India,High systolic blood pressure,Number,1990,640552.6353
India,Dietary risks,Number,1990,538437.519
India,Occupational risks,Number,1990,179451.9441
India,Unsafe water source,Percent,1990,0.110633895
India,Air pollution,Percent,1990,0.16097854
India,Lead exposure,Percent,1990,0.013901515
India,Smoking,Percent,1990,0.077065665
India,Alcohol use,Percent,1990,0.021017265
India,Drug use,Percent,1990,0.003652612
India,High systolic blood pressure,Percent,1990,0.077395394
India,Dietary risks,Percent,1990,0.065057001
India,Occupational risks,Percent,1990,0.021681026
India,Unsafe water source,Rate,1990,107.0496802
India,Air pollution,Rate,1990,155.7628709
India,Lead exposure,Rate,1990,13.44612577
India,Smoking,Rate,1990,74.55355251
India,Alcohol use,Rate,1990,20.33396908
India,Drug use,Rate,1990,3.533550536
India,High systolic blood pressure,Rate,1990,74.86715665
India,Dietary risks,Rate,1990,62.93204315
India,Occupational risks,Rate,1990,20.97416523
United States of America,Unsafe water source,Number,1990,83.84274631
United States of America,Air pollution,Number,1990,103744.4668
United States of America,Lead exposure,Number,1990,25296.16666
United States of America,Smoking,Number,1990,515412.0158
United States of America,Alcohol use,Number,1990,76480.39749
United States of America,Drug use,Number,1990,24755.34129
United States of America,High systolic blood pressure,Number,1990,503627.1507
United States of America,Dietary risks,Number,1990,401992.5687
United States of America,Occupational risks,Number,1990,56023.51193
United States of America,Unsafe water source,Percent,1990,3.93E-05
United States of America,Air pollution,Percent,1990,0.048650444
United States of America,Lead exposure,Percent,1990,0.011862373
United States of America,Smoking,Percent,1990,0.241699105
United States of America,Alcohol use,Percent,1990,0.035865005
United States of America,Drug use,Percent,1990,0.011608851
United States of America,High systolic blood pressure,Percent,1990,0.236172556
United States of America,Dietary risks,Percent,1990,0.188511218
United States of America,Occupational risks,Percent,1990,0.026271729
United States of America,Unsafe water source,Rate,1990,0.033060293
United States of America,Air pollution,Rate,1990,40.90780176
United States of America,Lead exposure,Rate,1990,9.974609754
United States of America,Smoking,Rate,1990,203.2337069
United States of America,Alcohol use,Rate,1990,30.15722221
United States of America,Drug use,Rate,1990,9.761355229
United States of America,High systolic blood pressure,Rate,1990,198.5867803
United States of America,Dietary risks,Rate,1990,158.5109337
United States of America,Occupational risks,Rate,1990,22.09080435
Malaysia,Unsafe water source,Number,1990,687.2487025
Malaysia,Air pollution,Number,1990,7886.416716
Malaysia,Lead exposure,Number,1990,565.6952969
Malaysia,Smoking,Number,1990,11823.5433
Malaysia,Alcohol use,Number,1990,2108.439071
Malaysia,Drug use,Number,1990,246.8169545
Malaysia,High systolic blood pressure,Number,1990,17860.787
Malaysia,Dietary risks,Number,1990,14212.52176
Malaysia,Occupational risks,Number,1990,1942.448648
Malaysia,Unsafe water source,Percent,1990,0.008349497
Malaysia,Air pollution,Percent,1990,0.095809627
Malaysia,Lead exposure,Percent,1990,0.006872509
Malaysia,Smoking,Percent,1990,0.143639608
Malaysia,Alcohol use,Percent,1990,0.025614086
Malaysia,Drug use,Percent,1990,0.002998506
Malaysia,High systolic blood pressure,Percent,1990,0.216983095
Malaysia,Dietary risks,Percent,1990,0.172665659
Malaysia,Occupational risks,Percent,1990,0.023598288
Malaysia,Unsafe water source,Rate,1990,3.892644808
Malaysia,Air pollution,Rate,1990,44.66944641
Malaysia,Lead exposure,Rate,1990,3.204154264
Malaysia,Smoking,Rate,1990,66.96972186
Malaysia,Alcohol use,Rate,1990,11.942408
Malaysia,Drug use,Rate,1990,1.397995708
Malaysia,High systolic blood pressure,Rate,1990,101.1652689
Malaysia,Dietary risks,Rate,1990,80.50113274
Malaysia,Occupational risks,Rate,1990,11.00222179
China,Unsafe water source,Number,1990,75816.50875
China,Air pollution,Number,1990,1895766.613
China,Lead exposure,Number,1990,161548.1197
China,Smoking,Number,1990,1531774.653
China,Alcohol use,Number,1990,357337.0845
China,Drug use,Number,1990,88099.97297
China,High systolic blood pressure,Number,1990,1222195.151
China,Dietary risks,Number,1990,1134883.502
China,Occupational risks,Number,1990,426310.7747
China,Unsafe water source,Percent,1990,0.009093123
China,Air pollution,Percent,1990,0.227070089
China,Lead exposure,Percent,1990,0.019344025
China,Smoking,Percent,1990,0.183373397
China,Alcohol use,Percent,1990,0.042766585
China,Drug use,Percent,1990,0.010544604
China,High systolic blood pressure,Percent,1990,0.146346797
China,Dietary risks,Percent,1990,0.135889973
China,Occupational risks,Percent,1990,0.051046643
China,Unsafe water source,Rate,1990,6.405141748
China,Air pollution,Rate,1990,160.1584414
China,Lead exposure,Rate,1990,13.64793266
China,Smoking,Rate,1990,129.4076177
China,Alcohol use,Rate,1990,30.18860557
China,Drug use,Rate,1990,7.442875228
China,High systolic blood pressure,Rate,1990,103.2536754
China,Dietary risks,Rate,1990,95.87739951
China,Occupational risks,Rate,1990,36.01565128
Japan,Unsafe water source,Number,1990,186.9374119
Japan,Air pollution,Number,1990,31555.56151
Japan,Lead exposure,Number,1990,3715.051759
Japan,Smoking,Number,1990,174837.3307
Japan,Alcohol use,Number,1990,44022.30831
Japan,Drug use,Number,1990,6125.327448
Japan,High systolic blood pressure,Number,1990,180267.3413
Japan,Dietary risks,Number,1990,124306.1549
Japan,Occupational risks,Number,1990,17665.66462
United Kingdom,Unsafe water source,Number,1990,8.333239773
United Kingdom,Air pollution,Number,1990,42075.13954
United Kingdom,Lead exposure,Number,1990,4570.435464
United Kingdom,Smoking,Number,1990,181329.4657
United Kingdom,Alcohol use,Number,1990,8794.175636
United Kingdom,Drug use,Number,1990,1720.637748
United Kingdom,High systolic blood pressure,Number,1990,185925.2126
United Kingdom,Dietary risks,Number,1990,139976.749
United Kingdom,Occupational risks,Number,1990,23112.1596
United Kingdom,Unsafe water source,Percent,1990,1.31E-05
United Kingdom,Air pollution,Percent,1990,0.065978419
United Kingdom,Lead exposure,Percent,1990,0.007166879
United Kingdom,Smoking,Percent,1990,0.284355327
United Kingdom,Alcohol use,Percent,1990,0.01379043
United Kingdom,Drug use,Percent,1990,0.002698243
United Kingdom,High systolic blood pressure,Percent,1990,0.291560055
United Kingdom,Dietary risks,Percent,1990,0.219505899
United Kingdom,Occupational risks,Percent,1990,0.036243667
United Kingdom,Unsafe water source,Rate,1990,0.014499345
United Kingdom,Air pollution,Rate,1990,73.20825558
United Kingdom,Lead exposure,Rate,1990,7.952287532
United Kingdom,Smoking,Rate,1990,315.5025513
United Kingdom,Alcohol use,Rate,1990,15.30134575
United Kingdom,Drug use,Rate,1990,2.993807969
United Kingdom,High systolic blood pressure,Rate,1990,323.4988792
United Kingdom,Dietary risks,Rate,1990,243.5512687
United Kingdom,Occupational risks,Rate,1990,40.21379146
Switzerland,Unsafe water source,Number,1990,2.635101807
Switzerland,Air pollution,Number,1990,3740.207214
Switzerland,Lead exposure,Number,1990,357.9982214
Switzerland,Smoking,Number,1990,11855.00956
Switzerland,Alcohol use,Number,1990,4301.863321
Switzerland,Drug use,Number,1990,519.3511975
Switzerland,High systolic blood pressure,Number,1990,12448.29469
Switzerland,Dietary risks,Number,1990,11303.68299
Switzerland,Occupational risks,Number,1990,1916.228215
Switzerland,Unsafe water source,Percent,1990,4.26E-05
Switzerland,Air pollution,Percent,1990,0.060523015
Switzerland,Lead exposure,Percent,1990,0.005792744
Switzerland,Smoking,Percent,1990,0.191835482
Switzerland,Alcohol use,Percent,1990,0.069611923
Switzerland,Drug use,Percent,1990,0.008404063
Switzerland,High systolic blood pressure,Percent,1990,0.201434975
Switzerland,Dietary risks,Percent,1990,0.182917297
Switzerland,Occupational risks,Percent,1990,0.031008956
Switzerland,Unsafe water source,Rate,1990,0.038382306
Switzerland,Air pollution,Rate,1990,54.47902475
Switzerland,Lead exposure,Rate,1990,5.21452231
Switzerland,Smoking,Rate,1990,172.6774273
Switzerland,Alcohol use,Rate,1990,62.65998243
Switzerland,Drug use,Rate,1990,7.564753802
Switzerland,High systolic blood pressure,Rate,1990,181.3190863
Switzerland,Dietary risks,Rate,1990,164.6469274
Switzerland,Occupational risks,Rate,1990,27.91135313
Malaysia,Unsafe water source,Number,1991,648.0483312
Malaysia,Air pollution,Number,1991,7576.704974
Malaysia,Lead exposure,Number,1991,573.8709532
Malaysia,Smoking,Number,1991,12009.31856
Malaysia,Alcohol use,Number,1991,2193.909646
Malaysia,Drug use,Number,1991,304.4588744
Malaysia,High systolic blood pressure,Number,1991,17764.18803
Malaysia,Dietary risks,Number,1991,14243.83174
Malaysia,Occupational risks,Number,1991,1984.9039
Malaysia,Unsafe water source,Percent,1991,0.007776034
Malaysia,Air pollution,Percent,1991,0.090920686
Malaysia,Lead exposure,Percent,1991,0.006886601
Malaysia,Smoking,Percent,1991,0.144109241
Malaysia,Alcohol use,Percent,1991,0.026326554
Malaysia,Drug use,Percent,1991,0.003653417
Malaysia,High systolic blood pressure,Percent,1991,0.213167598
Malaysia,Dietary risks,Percent,1991,0.170925295
Malaysia,Occupational risks,Percent,1991,0.023818588
Malaysia,Unsafe water source,Rate,1991,3.559701287
Malaysia,Air pollution,Rate,1991,41.61851076
Malaysia,Lead exposure,Rate,1991,3.152248177
Malaysia,Smoking,Rate,1991,65.96666434
Malaysia,Alcohol use,Rate,1991,12.05105023
Malaysia,Drug use,Rate,1991,1.672379351
Malaysia,High systolic blood pressure,Rate,1991,97.57791192
Malaysia,Dietary risks,Rate,1991,78.24074803
Malaysia,Occupational risks,Rate,1991,10.90299076
Japan,Unsafe water source,Percent,1991,0.00022421
Japan,Air pollution,Percent,1991,0.038130719
Japan,Lead exposure,Percent,1991,0.004488168
Japan,Smoking,Percent,1991,0.214522678
Japan,Alcohol use,Percent,1991,0.054405141
Japan,Drug use,Percent,1991,0.007742662
Japan,High systolic blood pressure,Percent,1991,0.217880505
Japan,Dietary risks,Percent,1991,0.150378885
Japan,Occupational risks,Percent,1991,0.021735096
Japan,Unsafe water source,Rate,1991,0.147226981
Japan,Air pollution,Rate,1991,25.03844773
Japan,Lead exposure,Rate,1991,2.947381974
Japan,Smoking,Rate,1991,140.8662231
Japan,Alcohol use,Rate,1991,35.72505129
Japan,Drug use,Rate,1991,5.08416604
Japan,High systolic blood pressure,Rate,1991,143.071432
Japan,Dietary risks,Rate,1991,98.74798933
Japan,Occupational risks,Rate,1991,14.27233344
Global,Unsafe water source,Number,1993,2361329.843
Global,Air pollution,Number,1993,6556725.474
Global,Lead exposure,Number,1993,569847.6015
Global,Smoking,Number,1993,6257466.571
Global,Alcohol use,Number,1993,1787248.671
Global,Drug use,Number,1993,289135.1512
Global,High systolic blood pressure,Number,1993,7240557.7
Global,Dietary risks,Number,1993,5734920.153
Global,Occupational risks,Number,1993,1173628.353
Global,Unsafe water source,Percent,1993,0.049009913
Global,Air pollution,Percent,1993,0.136079719
Global,Lead exposure,Percent,1993,0.011828749
Global,Smoking,Percent,1993,0.12988206
Global,Alcohol use,Percent,1993,0.037096137
Global,Drug use,Percent,1993,0.006000898
Global,High systolic blood pressure,Percent,1993,0.150291612
Global,Dietary risks,Percent,1993,0.119039628
Global,Occupational risks,Percent,1993,0.024359379
Global,Unsafe water source,Rate,1993,42.20454924
Global,Air pollution,Rate,1993,117.1897454
Global,Lead exposure,Rate,1993,10.18500708
Global,Smoking,Rate,1993,111.8410276
Global,Alcohol use,Rate,1993,31.94387466
Global,Drug use,Rate,1993,5.167773899
Global,High systolic blood pressure,Rate,1993,129.4120239
Global,Dietary risks,Rate,1993,102.5014446
Global,Occupational risks,Rate,1993,20.97650855
Japan,Unsafe water source,Number,1991,185.891112
Japan,Air pollution,Number,1991,31613.93959
Japan,Lead exposure,Number,1991,3721.411035
Japan,Smoking,Number,1991,177859.9183
Japan,Alcohol use,Number,1991,45107.01404
Japan,Drug use,Number,1991,6419.348347
Japan,High systolic blood pressure,Number,1991,180644.2499
Japan,Dietary risks,Number,1991,124680.7711
Japan,Occupational risks,Number,1991,18020.47364
China,Unsafe water source,Number,1991,70793.32024
China,Air pollution,Number,1991,1896714.827
China,Lead exposure,Number,1991,164884.7996
China,Smoking,Number,1991,1581921.122
China,Alcohol use,Number,1991,364815.5403
China,Drug use,Number,1991,94211.1581
China,High systolic blood pressure,Number,1991,1246742.24
China,Dietary risks,Number,1991,1144412.309
China,Occupational risks,Number,1991,428876.7654
China,Unsafe water source,Percent,1991,0.008434892
China,Air pollution,Percent,1991,0.225700861
China,Lead exposure,Percent,1991,0.019615609
China,Smoking,Percent,1991,0.188139949
China,Alcohol use,Percent,1991,0.043371137
China,Drug use,Percent,1991,0.011203448
China,High systolic blood pressure,Percent,1991,0.148331998
China,Dietary risks,Percent,1991,0.136131375
China,Occupational risks,Percent,1991,0.051018586
China,Unsafe water source,Rate,1991,5.90668108
China,Air pollution,Rate,1991,158.2534841
China,Lead exposure,Rate,1991,13.75725736
China,Smoking,Rate,1991,131.9884917
China,Alcohol use,Rate,1991,30.43859283
China,Drug use,Rate,1991,7.860561748
China,High systolic blood pressure,Rate,1991,104.0226504
China,Dietary risks,Rate,1991,95.48469422
China,Occupational risks,Rate,1991,35.78357771
India,Unsafe water source,Number,1993,916144.6039
India,Air pollution,Number,1993,1336596.812
India,Lead exposure,Number,1993,126402.9561
India,Smoking,Number,1993,680025.7912
India,Alcohol use,Number,1993,183159.2743
India,Drug use,Number,1993,34596.44585
India,High systolic blood pressure,Number,1993,696165.9362
India,Dietary risks,Number,1993,576227.2687
India,Occupational risks,Number,1993,188631.3673
India,Unsafe water source,Percent,1993,0.109698444
India,Air pollution,Percent,1993,0.16003414
India,Lead exposure,Percent,1993,0.015140602
India,Smoking,Percent,1993,0.081433389
India,Alcohol use,Percent,1993,0.021932954
India,Drug use,Percent,1993,0.004142543
