Country,Year,Death Rate
China,1990,280.80127
China,1991,274.4735
China,1992,268.91718
China,1993,262.73883
China,1994,254.90948
China,1995,246.52893
China,1996,239.16681
China,1997,230.32127
China,1998,221.40315
China,1999,216.73656
China,2000,213.26111
China,2001,207.54622
China,2002,202.0797
China,2003,196.55457
China,2004,193.20528
China,2005,185.80782
China,2006,173.69003
China,2007,164.91856
China,2008,160.40204
China,2009,156.39961
China,2010,153.37444
China,2011,148.04576
China,2012,140.69536
China,2013,134.63913
China,2014,129.23306
China,2015,124.34868
China,2016,119.81175
China,2017,114.10492
China,2018,109.00006
China,2019,105.92243
India,1990,280.5496
India,1991,278.58936
India,1992,274.16492
India,1993,268.49084
India,1994,261.26193
India,1995,253.85863
India,1996,253.51646
India,1997,261.14294
India,1998,258.5318
India,1999,247.57991
India,2000,243.3887
India,2001,242.64006
India,2002,238.21454
India,2003,228.2405
India,2004,212.39885
India,2005,211.92703
India,2006,214.06673
India,2007,213.56076
India,2008,212.18431
India,2009,197.67227
India,2010,187.43596
India,2011,184.7757
India,2012,183.92117
India,2013,187.91331
India,2014,185.81102
India,2015,179.74594
India,2016,171.9553
India,2017,167.0373
India,2018,167.217
India,2019,164.07867
Japan,1990,20.111774
Japan,1991,19.389132
Japan,1992,18.76144
Japan,1993,18.221582
Japan,1994,17.412796
Japan,1995,17.006342
Japan,1996,16.029585
Japan,1997,15.381917
Japan,1998,15.164785
Japan,1999,14.942874
Japan,2000,14.223615
Japan,2001,13.566194
Japan,2002,12.949989
Japan,2003,12.543292
Japan,2004,12.069731
Japan,2005,11.817526
Japan,2006,11.295564
Japan,2007,10.861867
Japan,2008,10.48969
Japan,2009,10.107404
Japan,2010,9.896218
Japan,2011,9.945651
Japan,2012,10.07721
Japan,2013,10.359856
Japan,2014,10.499294
Japan,2015,10.416283
Japan,2016,10.2590275
Japan,2017,9.987561
Japan,2018,9.960296
Japan,2019,9.893774
Malaysia,1990,90.06378
Malaysia,1991,83.98223
Malaysia,1992,80.020096
Malaysia,1993,78.29115
Malaysia,1994,80.05521
Malaysia,1995,81.27185
Malaysia,1996,75.758575
Malaysia,1997,71.245415
Malaysia,1998,67.13214
Malaysia,1999,71.159775
Malaysia,2000,66.13951
Malaysia,2001,65.22566
Malaysia,2002,65.41514
Malaysia,2003,65.03857
Malaysia,2004,62.336136
Malaysia,2005,60.85523
Malaysia,2006,58.756664
Malaysia,2007,56.363678
Malaysia,2008,55.727394
Malaysia,2009,54.972763
Malaysia,2010,52.884083
Malaysia,2011,51.489468
Malaysia,2012,50.899944
Malaysia,2013,48.490566
Malaysia,2014,49.181465
Malaysia,2015,48.882095
Malaysia,2016,46.583458
Malaysia,2017,43.875732
Malaysia,2018,44.34818
