Country,Factor,Death Rate
United States of America,Unsafe water source,0.116380445
United States of America,Unsafe sanitation,0.207878928
United States of America,Air pollution,18.36375593
United States of America,Lead exposure,6.341863677
United States of America,Iron deficiency,0.034735415
United States of America,Vitamin A deficiency,2.23E-05
United States of America,Zinc deficiency,7.49E-06
United States of America,Smoking,160.9056163
United States of America,Secondhand smoke,10.84926378
United States of America,Alcohol use,41.66828624
United States of America,Drug use,31.93383426
United States of America,High fasting plasma glucose,133.9656037
United States of America,High systolic blood pressure,150.9857583
United States of America,High body-mass index,120.0867857
United States of America,Diet low in fruits,12.24829526
United States of America,Diet low in vegetables,8.530072438
United States of America,Diet low in whole grains,31.17481729
United States of America,Diet low in nuts and seeds,3.362668947
United States of America,Diet low in milk,2.198545133
United States of America,Diet high in red meat,20.01730688
United States of America,Diet high in processed meat,15.518494
United States of America,Diet high in sugar-sweetened beverages,6.579030812
United States of America,Diet low in fiber,10.69500358
United States of America,Diet low in seafood omega-3 fatty acids,4.899493479
United States of America,Diet low in polyunsaturated fatty acids,0.647768218
United States of America,Diet high in trans fatty acids,19.63116808
United States of America,Diet high in sodium,14.78784704
United States of America,Diet low in calcium,1.322735497
United States of America,All risk factors,546.5443856
United States of America,Child growth failure,1.803591251
United States of America,Diet low in legumes,23.42919911
United States of America,Low birth weight and short gestation,3.072449307
United States of America,Kidney dysfunction,65.47399759
United States of America,High LDL cholesterol,69.0113632
United Kingdom,Unsafe water source,0.059492115
United Kingdom,Unsafe sanitation,0.011640021
United Kingdom,Air pollution,22.35362403
United Kingdom,Lead exposure,3.435752185
United Kingdom,Iron deficiency,0.005515333
United Kingdom,Vitamin A deficiency,3.05E-05
United Kingdom,Zinc deficiency,1.32E-05
United Kingdom,Smoking,178.1851369
United Kingdom,Secondhand smoke,12.31299404
United Kingdom,Alcohol use,37.55146645
United Kingdom,Drug use,7.459670487
United Kingdom,High fasting plasma glucose,112.247942
United Kingdom,High systolic blood pressure,130.5581712
United Kingdom,High body-mass index,83.62904392
United Kingdom,Diet low in fruits,14.97536167
United Kingdom,Diet low in vegetables,8.830447696
United Kingdom,Diet low in whole grains,31.01583844
United Kingdom,Diet low in nuts and seeds,16.572107
United Kingdom,Diet low in milk,4.07517611
United Kingdom,Diet high in red meat,13.29268203
United Kingdom,Diet high in processed meat,11.73464787
United Kingdom,Diet high in sugar-sweetened beverages,4.684498716
United Kingdom,Diet low in fiber,9.698814854
United Kingdom,Diet low in seafood omega-3 fatty acids,4.865258319
United Kingdom,Diet low in polyunsaturated fatty acids,3.600290567
United Kingdom,Diet high in trans fatty acids,10.17826666
United Kingdom,Diet high in sodium,9.920092608
United Kingdom,Diet low in calcium,1.755778309
United Kingdom,All risk factors,517.319753
United Kingdom,Child growth failure,0.243676283
United Kingdom,Diet low in legumes,17.94246978
United Kingdom,Low birth weight and short gestation,2.051136539
United Kingdom,Kidney dysfunction,32.67641041
United Kingdom,High LDL cholesterol,71.44825542
Malaysia,Unsafe water source,2.320168124
Malaysia,Unsafe sanitation,0.255535836
Malaysia,Air pollution,35.01501915
Malaysia,Lead exposure,3.671043255
Malaysia,Iron deficiency,0.133273778
Malaysia,Vitamin A deficiency,0.001041484
Malaysia,Zinc deficiency,0.000257277
Malaysia,Smoking,78.55140694
Malaysia,Secondhand smoke,19.05388365
Malaysia,Alcohol use,10.82409563
Malaysia,Drug use,4.46572945
Malaysia,High fasting plasma glucose,78.62047888
Malaysia,High systolic blood pressure,131.2430907
Malaysia,High body-mass index,61.03569416
Malaysia,Diet low in fruits,8.913411751
Malaysia,Diet low in vegetables,9.9802586
Malaysia,Diet low in whole grains,20.89224151
Malaysia,Diet low in nuts and seeds,0.266560215
Malaysia,Diet low in milk,3.058783738
Malaysia,Diet high in red meat,5.474904518
Malaysia,Diet high in processed meat,1.818960934
Malaysia,Diet high in sugar-sweetened beverages,1.744668024
Malaysia,Diet low in fiber,13.49589049
Malaysia,Diet low in seafood omega-3 fatty acids,3.654768567
Malaysia,Diet low in polyunsaturated fatty acids,3.808087506
Malaysia,Diet high in trans fatty acids,6.421358733
Malaysia,Diet high in sodium,25.26295356
Malaysia,Diet low in calcium,3.387934955
Malaysia,All risk factors,314.6137612
Malaysia,Child growth failure,1.338184952
Malaysia,Diet low in legumes,16.25167498
Malaysia,Low birth weight and short gestation,3.629846921
Malaysia,Kidney dysfunction,42.85706406
Malaysia,High LDL cholesterol,63.30668536
Japan,Unsafe water source,0.424311257
Japan,Unsafe sanitation,0.080533171
Japan,Air pollution,33.30910672
Japan,Lead exposure,3.070313184
Japan,Iron deficiency,0.003691851
Japan,Vitamin A deficiency,4.95E-05
Japan,Zinc deficiency,5.91E-05
Japan,Smoking,156.036206
Japan,Secondhand smoke,13.14373813
Japan,Alcohol use,37.40148587
Japan,Drug use,8.243743605
Japan,High fasting plasma glucose,79.14718798
Japan,High systolic blood pressure,153.6795168
Japan,High body-mass index,40.55304256
Japan,Diet low in fruits,15.02943511
Japan,Diet low in vegetables,2.698046696
Japan,Diet low in whole grains,24.16282752
Japan,Diet low in nuts and seeds,9.414534729
Japan,Diet low in milk,8.44668696
Japan,Diet high in red meat,8.714485273
Japan,Diet high in processed meat,5.712403269
Japan,Diet high in sugar-sweetened beverages,2.463424698
Japan,Diet low in fiber,9.03448156
Japan,Diet low in seafood omega-3 fatty acids,4.114261621
Japan,Diet low in polyunsaturated fatty acids,2.694149789
Japan,Diet high in trans fatty acids,5.465447627
Japan,Diet high in sodium,29.80512025
Japan,Diet low in calcium,6.758105931
Japan,All risk factors,514.6176257
Japan,Child growth failure,1.155498977
Japan,Diet low in legumes,6.857657287
Japan,Low birth weight and short gestation,0.292771886
Japan,Kidney dysfunction,61.36528918
Japan,High LDL cholesterol,59.30273921
Switzerland,Unsafe water source,0.057148433
Switzerland,Unsafe sanitation,0.025197939
Switzerland,Air pollution,18.31972457
Switzerland,Lead exposure,4.431568294
Switzerland,Iron deficiency,0.004182204
Switzerland,Vitamin A deficiency,3.11E-05
Switzerland,Zinc deficiency,2.83E-05
Switzerland,Smoking,116.4168332
Switzerland,Secondhand smoke,7.715865424
Switzerland,Alcohol use,44.87204657
Switzerland,Drug use,7.03950337
Switzerland,High fasting plasma glucose,89.35294341
Switzerland,High systolic blood pressure,143.2521874
Switzerland,High body-mass index,69.84297605
Switzerland,Diet low in fruits,9.06410667
Switzerland,Diet low in vegetables,8.146221019
Switzerland,Diet low in whole grains,30.53607067
Switzerland,Diet low in nuts and seeds,3.572269687
Switzerland,Diet low in milk,2.493538121
Switzerland,Diet high in red meat,17.72014169
Switzerland,Diet high in processed meat,9.160490327
Switzerland,Diet high in sugar-sweetened beverages,2.938894685
Switzerland,Diet low in fiber,13.51923867
Switzerland,Diet low in seafood omega-3 fatty acids,4.422551427
Switzerland,Diet low in polyunsaturated fatty acids,4.81161362
Switzerland,Diet high in trans fatty acids,9.775476591
Switzerland,Diet high in sodium,11.14048971
Switzerland,Diet low in calcium,1.022721662
Switzerland,All risk factors,456.008626
Switzerland,Child growth failure,0.894090993
