Country,Share_of_total_deaths,Year,Continent
Afghanistan,16.609505,2019,Asia
Armenia,11.371826,2019,Asia
Azerbaijan,10.869016,2019,Asia
Bahrain,14.672168,2019,Asia
Bangladesh,20.328232,2019,Asia
Bhutan,16.152782,2019,Asia
Brunei,2.0902529,2019,Asia
Cambodia,16.547619,2019,Asia
China,16.696108,2019,Asia
Cyprus,5.0202208,2019,Asia
East Timor,16.664143,2019,Asia
Georgia,9.599961,2019,Asia
India,18.097055,2019,Asia
Indonesia,10.366579,2019,Asia
Iran,11.015157,2019,Asia
Iraq,14.995286,2019,Asia
Israel,5.124964,2019,Asia
Japan,3.060241,2019,Asia
Jordan,9.813195,2019,Asia
Kazakhstan,8.671333,2019,Asia
Kuwait,14.88958,2019,Asia
Kyrgyzstan,12.572305,2019,Asia
Laos,18.422544,2019,Asia
Lebanon,9.842846,2019,Asia
Malaysia,6.1238647,2019,Asia
Maldives,5.5576234,2019,Asia
Mongolia,13.067182,2019,Asia
Myanmar,18.156124,2019,Asia
Nepal,23.133001,2019,Asia
North Korea,22.825762,2019,Asia
Oman,14.158104,2019,Asia
Pakistan,16.882307,2019,Asia
Palestine,11.568065,2019,Asia
Philippines,12.095477,2019,Asia
Qatar,14.967405,2019,Asia
Saudi Arabia,14.74984,2019,Asia
Singapore,5.8047347,2019,Asia
South Korea,7.0343895,2019,Asia
Sri Lanka,10.097352,2019,Asia
Syria,11.606949,2019,Asia
Taiwan,6.57955,2019,Asia
Tajikistan,15.940316,2019,Asia
Thailand,7.889034,2019,Asia
Turkey,9.451574,2019,Asia
Turkmenistan,10.861875,2019,Asia
United Arab Emirates,12.422841,2019,Asia
Uzbekistan,14.515069,2019,Asia
Vietnam,11.2605505,2019,Asia
Yemen,14.387698,2019,Asia
African Region (WHO),12.789353,2019,Unknown
Cote d'Ivoire,14.028488,2019,Unknown
Democratic Republic of Congo,15.473239,2019,Unknown
East Asia & Pacific (WB),13.73336,2019,Unknown
Eastern Mediterranean Region (WHO),14.75789,2019,Unknown
England,2.566705,2019,Unknown
Europe & Central Asia (WB),5.150898,2019,Unknown
European Region (WHO),5.1712766,2019,Unknown
G20,11.272725,2019,Unknown
High Income (WB),3.3464696,2019,Unknown
Latin America & Caribbean (WB),5.7700696,2019,Unknown
Low Income (WB),15.974538,2019,Unknown
Lower Middle Income (WB),15.391962,2019,Unknown
Micronesia (country),8.358452,2019,Unknown
Middle East & North Africa (WB),12.795607,2019,Unknown
Middle Income (WB),12.016369,2019,Unknown
North America (WB),1.9529976,2019,Unknown
Northern Ireland,1.9266129,2019,Unknown
OECD Countries,3.54702,2019,Unknown
Region of the Americas (WHO),4.098235,2019,Unknown
Scotland,1.3155396,2019,Unknown
South Asia (WB),18.045372,2019,Unknown
South-East Asia Region (WHO),16.947306,2019,Unknown
Sub-Saharan Africa (WB),13.069669,2019,Unknown
Wales,2.196183,2019,Unknown
Western Pacific Region (WHO),14.088466,2019,Unknown
World,11.646928,2019,Unknown
Albania,9.543016,2019,Europe
Andorra,2.1717396,2019,Europe
Austria,3.2155223,2019,Europe
Belarus,6.77795,2019,Europe
Belgium,3.3124945,2019,Europe
Bosnia and Herzegovina,12.3605795,2019,Europe
Bulgaria,8.5033045,2019,Europe
Croatia,6.2461486,2019,Europe
Czechia,5.6198144,2019,Europe
Denmark,2.5983975,2019,Europe
Estonia,1.2464755,2019,Europe
Finland,0.73263884,2019,Europe
France,2.411587,2019,Europe
Germany,3.0334759,2019,Europe
Greece,4.890207,2019,Europe
Hungary,6.5540886,2019,Europe
Iceland,0.90118796,2019,Europe
Ireland,1.6819842,2019,Europe
Italy,4.2661047,2019,Europe
Latvia,4.239611,2019,Europe
Lithuania,3.2779295,2019,Europe
Luxembourg,2.4599354,2019,Europe
Malta,4.1736517,2019,Europe
Moldova,5.7212515,2019,Europe
Monaco,3.1150393,2019,Europe
Montenegro,10.334127,2019,Europe
Netherlands,3.1293,2019,Europe
North Macedonia,12.744707,2019,Europe
Norway,1.1047429,2019,Europe
Poland,7.4299574,2019,Europe
Portugal,2.003581,2019,Europe
Romania,6.3162856,2019,Europe
